day,demand_MWh
01/23/2020,11299065
01/22/2020,12051504
01/21/2020,12203560
01/20/2020,11905910
01/19/2020,10593866
01/18/2020,10596025
01/17/2020,11140133
01/16/2020,10717174
01/15/2020,10447619
01/14/2020,10524436
01/13/2020,10653343
01/12/2020,9878432
01/11/2020,9809148
01/10/2020,10417624
01/9/2020,11054686
01/8/2020,11174698
01/7/2020,10866961
01/6/2020,10801855
01/5/2020,10165308
01/4/2020,9930353
01/3/2020,10245214
01/2/2020,10474210
01/1/2020,9977960
12/31/2019,10427051
12/30/2019,10282092
12/29/2019,9568033
12/28/2019,9580102
12/27/2019,10015209
12/26/2019,9976088
12/25/2019,9399506
12/24/2019,9843734
12/23/2019,10510154
12/22/2019,10430106
12/21/2019,10739245
12/20/2019,11663766
12/19/2019,12094955
12/18/2019,12044765
12/17/2019,11491287
12/16/2019,11135235
12/15/2019,10295214
12/14/2019,10306454
12/13/2019,11063823
12/12/2019,11617397
12/11/2019,11613720
12/10/2019,10926810
12/9/2019,10514222
12/8/2019,10055988
12/7/2019,10166702
12/6/2019,10634387
12/5/2019,10779066
12/4/2019,10947765
12/3/2019,11203900
12/2/2019,11012846
12/1/2019,9880723
11/30/2019,9740506
11/29/2019,9721606
11/28/2019,9715362
11/27/2019,10268490
11/26/2019,10411119
11/25/2019,10399767
11/24/2019,9779113
11/23/2019,9944310
11/22/2019,10281555
11/21/2019,10354270
11/20/2019,10316652
11/19/2019,10306796
11/18/2019,10414544
11/17/2019,9954922
11/16/2019,10192861
11/15/2019,10853019
11/14/2019,11374749
11/13/2019,11978439
11/12/2019,11597753
11/11/2019,10358423
11/10/2019,9515760
11/9/2019,10090211
11/8/2019,10656932
11/7/2019,10403412
11/6/2019,10173357
11/5/2019,10125675
11/4/2019,10079630
11/3/2019,9808911
11/2/2019,9656613
11/1/2019,10283900
10/31/2019,10514947
10/30/2019,10275849
10/29/2019,10072668
10/28/2019,9859331
10/27/2019,9191186
10/26/2019,9254504
10/25/2019,9826942
10/24/2019,9987254
10/23/2019,9750449
10/22/2019,9924534
10/21/2019,9887479
10/20/2019,9290735
10/19/2019,9214528
10/18/2019,9612224
10/17/2019,9746658
10/16/2019,9942243
10/15/2019,10084752
10/14/2019,9835517
10/13/2019,8949698
10/12/2019,9099979
10/11/2019,9941703
10/10/2019,10426831
10/9/2019,10187560
10/8/2019,10133608
10/7/2019,10323041
10/6/2019,9784149
10/5/2019,9945682
10/4/2019,10903697
10/3/2019,11579010
10/2/2019,12101303
10/1/2019,12040754
09/30/2019,11773253
09/29/2019,10967147
09/28/2019,11022451
09/27/2019,11418049
09/26/2019,11552816
09/25/2019,11504304
09/24/2019,11542041
09/23/2019,11787480
09/22/2019,10943021
09/21/2019,10912347
09/20/2019,11280462
09/19/2019,11377159
09/18/2019,11812620
09/17/2019,12141135
09/16/2019,12332784
09/15/2019,11395076
09/14/2019,11363784
09/13/2019,12156567
09/12/2019,12769890
09/11/2019,12873838
09/10/2019,12544726
09/9/2019,12190245
09/8/2019,11226023
09/7/2019,11546949
09/6/2019,12226090
09/5/2019,12509364
09/4/2019,12900369
09/3/2019,12614500
09/2/2019,11707162
09/1/2019,11172889
08/31/2019,11338572
08/30/2019,12184298
08/29/2019,12411516
08/28/2019,12374105
08/27/2019,12209900
08/26/2019,12070971
08/25/2019,11086878
08/24/2019,11323570
08/23/2019,12407067
08/22/2019,13261814
08/21/2019,13551748
08/20/2019,13626750
08/19/2019,13633785
08/18/2019,12584390
08/17/2019,12567067
08/16/2019,13047095
08/15/2019,13144584
08/14/2019,13350657
08/13/2019,13588836
08/12/2019,13315565
08/11/2019,12079095
08/10/2019,12225681
08/9/2019,13061585
08/8/2019,13290768
08/7/2019,13445587
08/6/2019,13430558
08/5/2019,13226208
08/4/2019,12311115
08/3/2019,12346766
08/2/2019,12814953
08/1/2019,13015519
07/31/2019,13164607
07/30/2019,13460862
07/29/2019,13537356
07/28/2019,12641197
07/27/2019,12450820
07/26/2019,12629745
07/25/2019,12365744
07/24/2019,12214631
07/23/2019,12321626
07/22/2019,13164621
07/21/2019,13134859
07/20/2019,13633052
07/19/2019,14188035
07/18/2019,13902738
07/17/2019,14071198
07/16/2019,13809875
07/15/2019,13420258
07/14/2019,12595312
07/13/2019,12649968
07/12/2019,13198589
07/11/2019,13408944
07/10/2019,13561971
07/9/2019,13025332
07/8/2019,12638972
07/7/2019,11969736
07/6/2019,12356521
07/5/2019,12680738
07/4/2019,12237917
07/3/2019,13084292
07/2/2019,13272468
07/1/2019,12864096
06/30/2019,11981742
06/29/2019,12299418
06/28/2019,12832513
06/27/2019,12790090
06/26/2019,12551579
06/25/2019,12287077
06/24/2019,11981529
06/23/2019,11027617
06/22/2019,11149808
06/21/2019,11968580
06/20/2019,12116944
06/19/2019,12009573
06/18/2019,11826978
06/17/2019,11565164
06/16/2019,10585703
06/15/2019,10517291
06/14/2019,10673796
06/13/2019,10856826
06/12/2019,10981144
06/11/2019,11192621
06/10/2019,11260632
06/9/2019,10396277
06/8/2019,10535256
06/7/2019,11403120
06/6/2019,11638774
06/5/2019,11582184
06/4/2019,11210937
06/3/2019,11111297
06/2/2019,10512792
06/1/2019,10699193
05/31/2019,11345797
05/30/2019,11368571
05/29/2019,11468861
05/28/2019,11422400
05/27/2019,10511139
05/26/2019,10429458
05/25/2019,10532375
05/24/2019,11124725
05/23/2019,11110375
05/22/2019,10740057
05/21/2019,10589209
05/20/2019,10844167
05/19/2019,9968179
05/18/2019,10020340
05/17/2019,10494459
05/16/2019,10351408
05/15/2019,10070845
05/14/2019,9964048
05/13/2019,9913666
05/12/2019,9047184
05/11/2019,9212433
05/10/2019,9895770
05/9/2019,10084727
05/8/2019,9634598
05/7/2019,9664625
05/6/2019,9926833
05/5/2019,9159929
05/4/2019,9400364
05/3/2019,10002245
05/2/2019,10207651
05/1/2019,10245556
04/30/2019,10211020
04/29/2019,9953619
04/28/2019,9126079
04/27/2019,9124287
04/26/2019,9698267
04/25/2019,9824471
04/24/2019,9765266
04/23/2019,9667644
04/22/2019,9474239
04/21/2019,8555931
04/20/2019,8864890
04/19/2019,9363862
04/18/2019,9743604
04/17/2019,9630963
04/16/2019,9621417
04/15/2019,9667033
04/14/2019,9103795
04/13/2019,9156078
